Title,Hours Viewed,id,vote_average,vote_count,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,visualizaciones,budget_millions,budget_category
A Dog's Way Home,4400000,508763,7.339,1009,2019-01-10,17643857,96.0,18000000,en,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",25.165,/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg,"Drama, Adventure, Family",45833.333333333336,18.0,Medio
A Fairly Odd Summer,600000,282728,5.857,63,2014-08-02,0,66.0,5000000,en,A Fairly Odd Summer,"Get ready for the oddest summer yet! Timmy Turner and his fairies are going on a summer vacation to Hawaii. But, unfortunately for Timmy, something tells us this won’t be a very relaxing holiday. With all the magic in Fairy World at stake and villains like Vicky , Foop and Crocker on his tail, there’s no way he’ll be able to enjoy himself…",6.176,/tqBWqnFJnbCqDDjOsGREeiAPf0E.jpg,"Fantasy, Comedy, Animation, Family, TV Movie",9090.90909090909,5.0,Medio
A Few Good Men,200000,881,7.523,3185,1992-12-11,243240178,138.0,40000000,en,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",26.468,/rLOk4z9zL1tTukIYV56P94aZXKk.jpg,Drama,1449.2753623188405,40.0,Medio
A Fistful of Dollars,100000,391,7.848,3769,1964-09-12,14500000,99.0,200000,it,Per un pugno di dollari,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",29.315,/lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg,Western,1010.10101010101,0.2,Bajo
A Futile and Stupid Gesture,900000,391710,6.463,300,2018-01-24,0,101.0,10000000,en,A Futile and Stupid Gesture,"In a life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",12.869,/kyHBeRgbbhs7kVrZYblVj9u2Xbd.jpg,Comedy,8910.89108910891,10.0,Medio
A Go! Go! Cory Carson Summer Camp,500000,726658,2.5,4,2020-07-04,4,20.0,5000,en,A Go! Go! Cory Carson Summer Camp,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.",1.003,/bcJgqj1iylRYUwSqg2NCfuhN2K2.jpg,"Animation, Family",25000.0,0.005,Bajo
A History of Violence,900000,59,7.168,2906,2005-09-23,60740827,96.0,32000000,en,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,21.136,/rrc6GiAKHDrUjp8OmdVng9hRWBn.jpg,"Drama, Thriller, Crime",9375.0,32.0,Medio
A Hologram for the King,100000,270010,5.84,1048,2016-04-22,4212494,97.0,30000000,en,A Hologram for the King,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.",9.641,/wmjWGb2tqtOA4XPnK1tpIfzRtSQ.jpg,"Comedy, Drama",1030.9278350515465,30.0,Medio
A Knight's Tale,5600000,9476,6.9,2790,2001-05-11,117487473,132.0,65000000,en,A Knight's Tale,"William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.",24.222,/srb1XnrlDZHcdpjBKqUu4qAzxKU.jpg,"Adventure, Drama, Romance, Action",42424.242424242424,65.0,Alto
A Man Apart,3100000,8409,6.1,812,2003-04-04,44350926,109.0,36000000,en,A Man Apart,"When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.",15.373,/z0JUBNk4BTBmeMOudrRH9GnOmK0.jpg,"Action, Drama",28440.366972477063,36.0,Medio
